,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
2710,3L55D8AUFCB22HT9NGRFXYS6W9YCY4##3OWEPKL08CR51LSTFZGVPGYAIAO7N9##A2LTOS0AZ3B28A##Blog_59264##q1_a2##3EHIMLB7F9DE4JD7W47M9C1KGWU8H9,"Let 's just say debit memos and I have been playing hide and seek with neither of us really seeking for months now . I was going to launch into a barrage of excuses , but there really just are n't any , and today should prove that . I told Karen I had a project , I confiscated the keyboard , and I let the phone ring more than once .",Why is she dodging her work ?,She hates doing debit memo 's .,None of the above choices .,Her phone rings too much for her to work .,The keyboard she confiscated is broken .,0,2,[-1.756  -1.457  -0.3909 -0.7627],2,[-30.885426 -26.348341 -25.674976 -29.14394 ]
2711,3L55D8AUFCB22HT9NGRFXYS6W9YCY4##3OWEPKL08CR51LSTFZGVPGYAIAO7N9##A2LTOS0AZ3B28A##Blog_59264##q2_a1##3KQC8JMJGE6S3M71KNCQIVT90A23HC,"Let 's just say debit memos and I have been playing hide and seek with neither of us really seeking for months now . I was going to launch into a barrage of excuses , but there really just are n't any , and today should prove that . I told Karen I had a project , I confiscated the keyboard , and I let the phone ring more than once .",Does she dodge her work often ?,None of the above choices .,She dodges for months if she can .,Karen loves to be on top of things .,Once she confiscated the keyboard she was working non stop .,1,3,[-2.537 -4.38  -5.44  -2.068],0,[-25.820646 -29.068598 -27.18893  -30.335506]
2713,3CO05SML7V3UHZN0D7U12390R2PR0P##3VP0C6EFSHU1KEUH0RK3EPL5DIZM6M##AO33H4GL9KZX9##Blog_1149546##q1_a1##3WKGUBL7S10F7E9VBMW7KSEMVQ0L4D,"Those are a couple images of the Rocky River area near my sister 's house after the torrential rains on Tuesday and Wednesday . I realized that it was bad when I laid down to sleep Tuesday night and discovered that the ceiling vent beside my bed was dripping water . I had noticed water damage a long time ago , but had never seen it leak until then - but then again , I had n't seen it rain quite that hard for that long since moving in . Then on Wednesday morning they reported about 12 areas around the city where roads were closed because of flooding .",What problems might I encounter as I did n't fix the leak in the ceiling ?,I might encounter dry wall stains in the ceiling which might spread to other parts .,I might encounter mold problems in the floor which might spread to other parts .,I might encounter mold problems in the ceiling which might spread to other parts .,None of the above choices .,2,0,[ 0.2922 -3.03   -3.236  -2.771 ],0,[-20.157402 -22.575813 -23.81929  -24.586943]
2715,360ZO6N6J3X0A2XSSTTD1D4RHGV9MC##3TXWC2NHN256VH8R2SV126ZM0CK9SP##A1OPGPTQJ48XOY##Blog_958671##q1_a1##3ZURAPD28A1CFN2G2TA7RH2ZMCNF1C,"For the second time in three days , my faith in humanity has been restored . First , there was Miss Monique 's gas line incident ... and Monday was the iPod incident . I took my iPod with me to my doctor 's appointment since I had the address , phone number , etc . stored in the calendar on my Touch .",Why did having your iPod restore your faith in humanity ?,I realized how great a device the iPod is and that helped me realize how great humanity is,I realized that the iPod can do so much and that made me realize how great humanity is to have created it,I had lost it and someone returned it to me which i thought was a great gesture,I realized how useful and iPod is and that it is a great invention,2,1,[1.916 3.348 1.04  1.359],3,[-21.507753 -19.354015 -18.784407 -18.31072 ]
2721,3VI0PC2ZAYIZHC1VOR24HMR6QATXOW##3LBXNTKX0STZW9VJC5PO9GS58QV9XC##A1OPGPTQJ48XOY##Blog_392168##q1_a1##3B9J25CZ27R56VH0OAZQFC45FQCSCK,"I was 14.I know I was 14 because it was after we moved , and before I got my first car , which I got when I was 15 even though I was n't legal in it until I was 16 . So , I was about 14 . I was on the subway heading to Port Authority to catch the bus home when I had one of those flows .",What would have happened if you drove your car when you were 15 ?,None of the above choices .,I would not be detected by any cops so I would be fine driving the car,I would have to learn on my own and then start to drive bit by bit,I would have to drive safely but otherwise I would be just fine,0,2,[-2.572 -3.55  -2.232 -4.484],2,[-26.8159   -25.073809 -22.36539  -23.670042]
2744,3SD15I2WD48C6XNKO4LML44JRO663I##3QY7M81QHA14TF7QIMOFXOH6PYU7KI##AO33H4GL9KZX9##Blog_173692##q1_a1##3YLPJ8OXXARA78QKP5ZVVM9921SX4X,"On Tuesday , just as I was leaving for my road trip , I heard an almighty rumbling noise outside my house . I ca n't really describe how loud this rumbling was ; it was , like , really , really , really loud . I looked over the balcony and saw what appeared to be an entire regiment of tanks crawling down the hill behind our house . Sadly , I was on the run and was unable to grab any footage of it .",Why might I have been on the run for the road trip ?,I might have gotten started on the road trip just as I intended .,I might have gotten started on the road trip just as I expected .,I might have gotten started on the road trip earlier than I expected .,None of the above choices .,3,2,[-1.279 -1.13   2.098 -2.803],2,[-29.969437 -30.51039  -23.9043   -26.312538]
2745,311HQEI8RSEH119B8N9N3LLM8XE7ZY##31Z0PCVWULDO19Y6SYQ76HGT2VNT7P##A1OPGPTQJ48XOY##Blog_1038697##q1_a1##367O8HRHKIM2BR4LVVT8WESHNK8S4Y,"I rolled onto my back and gasped for breath . He pulled away from my crotch and put his hand on my heart . I barely noticed it touch my hot , bare skin . "" I think that 's enough for the night then .",Why do you think he decided that it was enough for the night ?,I had been complaining that I was tired and he did not listen to me until finally deciding to listen to me and leave me be,None of the above choices .,I was hot and gasping and tired and could not go on anymore,He had had enough of my company and wanted to be alone,2,3,[-1.502  -1.123   0.4338  2.697 ],3,[-25.251024 -26.360283 -24.509102 -12.712503]
2750,3ZLW647WAN9OOW4J129JVRN7BOZ232##3EJPLAJKEPVGEAS7ZDMXEP5NYCDZ6J##A1OPGPTQJ48XOY##Blog_1146019##q1_a1##37SDSEDINBG308STUF41HPLDZ9G81W,"I was going slow , we were all going slow , but suddenly I felt my tires sliding . I did n't panic , I assumed since I was going slow everything would right itself if I did n't do anything stupid like slam on my brakes . So I did n't .",What might have happened had you panicked and slammed on your breaks ?,The car would have wobbled a little but come to a safe stop,None of the above choices .,The car would have stopped quickly because we were going quickly,The car would have straightened up nicely,1,0,[ 4.45   -0.1646 -1.743  -0.551 ],0,[-18.008905 -22.745386 -26.227297 -21.23331 ]
2757,3D42WVSDHA995TDJEIHG54D9RVQFYY##3K3R2QNK8EIMAU0VRXQ1H7HAH8Z9UT##A2CMYWI1J292YJ##Blog_998659##q1_a1##3LN3BXKGC29BUOEEA15A2SS5JTPGWI,It appeared to be Chinese dishes with a hint of Indian spice . It was nice but I would n't bother with it again . I had lunch in what was a stereotypical American diner . I think they were a chain and that was their aim .,Why did I mention chain ?,I went to the restaurant that was adorned by a chain .,I went to the restaurant that was surrounded by a chain .,I went to the diner that used to be a part of a retail chain .,None of the above choices .,3,2,[-3.81   1.019  5.797 -2.32 ],2,[-26.04004  -28.211956 -22.749058 -26.081886]
2760,3VI0PC2ZAYIZHC1VOR24HMR6QBQOXM##3AAJC4I4FHQD7G87ZZ4MVVMJD4MZJU##AJ7NSZOAFP05U##Blog_456903##q1_a1##3M47JKRKCZFY7UTQ0LGICLCU7C286K,When it is his turn to deal with her midnight calling he always brings her to our bed and I never get to sleep . So I said fine i will try and put her down . He said no to just leave her there . By that time I was standing up trying to get her in my arms so I can take her back to her room .,What may happen if your baby is crying at midnight ?,"I would n't try to calm them down , but I would bring them to sleep with us .",My husband would end up bringing them to sleep with us .,My husband would end up taking her back to her room .,None of the above choices .,1,2,[-2.893 -3.395 -1.657 -2.043],2,[-25.86943  -17.932579 -15.917152 -24.151922]
2763,3XJOUITW8UPVL75RYUTBHO10SPKQTV##3U0SRXB7CE30OFD14G212Z11EGLNRP##A33PQXKQHFVF3V##Blog_487034##q1_a1##37S0QRNUFDULB8CET0DGWZ8LDAT88D,My parents want it out of their basement and I obviously have no use for it . It is the same as pictured below except the front bar is powder coated black and NOT chrome . It is very similar to the black push bars you see on the front of cop cars . It bolts right onto the front tow hook locations .,What is the likely description of this passage ?,I am trying to show off my things that I own .,It is a sales ad for something I found in my parent 's basement .,It is me just describing something of mind to a friend .,None of the above choices .,1,0,[ 2.545  -0.2742 -4.387  -2.617 ],2,[-21.877014 -23.625149 -20.03544  -26.956575]
2765,3DQYSJDTYL9D5LO6UDZ8CAXSM8NXES##333U7HK6IADA4F3B7HFP433GOF8DJQ##AO33H4GL9KZX9##Blog_1092584##q1_a1##3XD2A6FGFP838XAXCQPZDM3X959S93,"Exhibit A : Buffy Summers . Exhibit B : Faith Lehane . Exhibit C : Just about everyone that 's ever known them . Exhibits D through more letters than exist in the alphabet : pretty much anyone that 's ever lived , but those connected to the supernatural in particular .","Why would the "" exhibit D through more letter than exist in the alphabet "" be needed ?",Because that exhibit includes people who have ever lived and have connected with the supernatural .,Because that exhibit include people who are alive and have connected with the natural .,Because that exhibit includes people who have ever lived and have connected with the natural .,Because that exhibit include people who are alive and have connected with the supernatural .,0,3,[ 0.05865  2.238   -2.078    2.816  ],3,[-18.723682 -22.175028 -25.680883 -17.09706 ]
2767,3DWGDA5POF2MHVPZIA3BH5HDHP8V13##3QFUFYSY9ZDHZHYMVGNBM1HIJ32F4X##A1OPGPTQJ48XOY##Blog_268909##q1_a1##3K2CEDRACDFJUH66QZYUSD53BP2TM4,"Then he explained how his kids found an egg and hatched it , and the little birdie grew and grew and grew , and the neighbors did n't know . Tonight I was revisited by every cat I ' ve ever had as well as a several more I have n't seen before . I was living in a house somewhere in Taipei , and my wife and I in the morning would feed our cat .",What happened after all your cats you had ever had visited you ?,I played with the cats for as long as I could before they would leave again,I woke up because I had dreamed the events they had not actually happened,None of the above choices .,I got acquainted with the new cats so that they would like me as much as my old cats do,1,3,[-1.733  0.945 -0.507  2.746],3,[-26.099438 -21.708588 -26.350803 -20.834393]
2769,3X4Q1O9UBHK52XV46EY6NNEIOIC7OB##3EWIJTFFVP58UFGPH4G3SG65QPEE03##AJ7NSZOAFP05U##Blog_786486##q1_a1##3I7KR83SNCR5KEXP7HGXM0CNSD49KF,"He continued . "" Well , after many years I gave up the search and went back to Middle Earth thinking you might have somehow turned up there again . I was wrong , and there was something else I discovered that needed my assistance even more than your absence . An evil greater than Sauron has been plaguing Middle Earth , but he found his way here and has been working hard to return to Middle Earth , but while he is here , he is in human form .",What may have been your reason for returning to Middle Earth .,I needed to find assistance in defeating Sauron .,Sauron was at Middle Earth .,I felt like I could find the thing I was looking for there .,None of the above choices .,2,3,[-2.342 -4.523 -4.086 -0.784],0,[-21.986778 -30.633118 -23.239433 -25.533699]
2770,3XD2A6FGFNSOE8BQSSDZLOFPG07S9F##3ND9UOO81L0F8BR2RXWSC65T05XWL5##AJ7NSZOAFP05U##Blog_1536265##q1_a1##3BFNCI9LYM4VAX1P7EQERI4FM3K37G,"We discussed that science gives us the how and the Bible ( and catechism ) gives us the why . We talked about how even when we are unfaithful to God , God is never unfaithful to us . And we discussed covenants . I think my favorite part is a story we all re - visited .",What may happen if you discuss the bible and science at the same time ?,Both ideas would n't be accepted as they have the same core concepts .,Both ideas would be accepted for different concepts .,The bible would be rejected while science is accepted .,None of the above choices .,1,0,[ 1.784  0.41  -4.113 -1.691],0,[-21.710575 -22.074478 -30.723272 -26.119562]
2777,3TUOHPJXYJBMGA94ZB5EQES0MSTXWH##39LOEL67OVK2XV427LOMU2WZPQH38H##A3GVXFBYAU9HP##Blog_1287099##q1_a1##3W9XHF7WGM9O4T635NLED0DZMTKTKU,"Moose thinks I ' m a lunatic because I 'll make the bed an hour before we go to sleep just because it drives me crazy to think I went the whole day without making it . I know just who to thank for that little neuroses of mine , too . When I met Moose , I think he went the entirety of our new relationship without ever making his .",Who is there to thank for the neurosis that causes me to want to make the bed every day ?,My father always insisted the bed be made every night .,My friend always insisted the bed be made every day .,My mother always insisted the bed be made every day .,My mother always insisted the bed be made every night .,2,1,[-5.06  -4.58  -5.484 -5.297],0,[-26.278809 -26.60633  -28.12727  -27.342323]
2778,3DIIW4IV8R9DHD1PQJZUSCMVFVCI4N##3OB0CAO74K4W692JZABIX9LB23PHYQ##AO33H4GL9KZX9##Blog_646926##q1_a1##3G9UA71JVX86VB3EAZI17PL5JL2J7D,"I can be very matter of fact and told him simply that the scallops were overcooked and tasted burnt . When the dish came back , the scallops were cooked well and tasted fine . The sides ... Ah , the sides .",What might be concluded about the sides ?,The sides might have been fine since they did n't redo them .,The sides might have been bad since they did redo them .,The sides might have been bad since they did n't redo them .,None of the above choices .,0,3,[-3.594 -2.998 -1.901 -1.877],2,[-22.534143 -27.694958 -21.903786 -25.250187]
2784,3VMHWJRYHXUK5ON99MVEMQ60RN4FXY##3OS46CRSLIEZ5QNXYGXUTJSRA2OV6Y##AJ7NSZOAFP05U##Blog_1273399##q1_a1##30F94FBDNTYNBQ29ZA8LEXU9ZYSBT7,It 's still probably fresh in his mind . It 's really fucking hard for me to balance friendship with relationship . I ' m not very good at this . I wish people would understand that a little more and help me find a balance .,What may make relationships hard for you ?,None of the above choices .,My past relationship is still fresh in my mind .,I view my partner as a friend .,I do n't think other people understand what a relationship means .,0,2,[-1.326  -0.0206  1.8    -1.412 ],3,[-25.069355 -19.062202 -19.140078 -18.931171]
